"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","1uf","",""
"2","C2","1","10nF","",""
"3","C4_U5, C5_U5","2","100nF","",""
"4","C6_U1E1, C7_U1E1, C7_U3, C7_U4, C7_U6, C7_U7, C7_U8, C7_U9, C7_U10, C7_U11, C7_U12","11","100nF","Capacitor_SMD:C_0603_1608Metric",""
"5","J2","1","Conn_02x37_Row_Letter_Last","",""
"6","JP1, JP2","2","Jumper_2_Bridged","",""
"7","JP3, JP4","2","Jumper_2_Open","",""
"8","R1, R2, R3, R4, R7, R8, R9, R10, R11, R12, R13, R14, R15, R17","14","10k","",""
"9","R5, R6","2","270k","",""
"10","R16","1","4K7","",""
"11","SW1","1","Reset","",""
"12","U1","1","74LS00","",""
"13","U2","1","74LS05","",""
"14","U3","1","74LS161","",""
"15","U4","1","ICM7555xB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"16","U5","1","68000D","",""
"17","U6, U9, U10, U11","4","74LS244","",""
"18","U7, U8","2","74LS245","",""
"19","U12","1","74LS148","",""
"20","X1","1","16Mhz","Oscillator:Oscillator_DIP-14",""
